time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1959-06-20T17:03:53.260Z,35.2656667,-118.3618333,6,2.77,ml,9,99,0.4067,0.51,ci,ci3297090,2016-01-28T18:20:11.590Z,"17km NNE of Tehachapi, CA",earthquake,1.13,31.61,0.07,9,reviewed,ci,ci
1959-06-16T08:49:34.760Z,34.4755,-116.6561667,6,3.13,ml,7,232,0.7657,0.56,ci,ci3297086,2016-01-28T18:20:10.560Z,"29km E of Lucerne Valley, CA",earthquake,2.25,31.61,0.145,9,reviewed,ci,ci
1959-06-12T11:03:13.250Z,33.495,-116.762,7.66,4.02,ml,12,98,,0.45,ci,ci3297082,2016-01-28T18:29:26.350Z,"11km SW of Anza, CA",earthquake,1.35,2.3,0.178,12,reviewed,ci,ci
1959-06-11T06:28:27.350Z,33.7043333,-118.0755,6,2.23,mh,7,213,0.4501,0.56,ci,ci3297081,2016-01-28T17:57:12.110Z,"5km SSE of Seal Beach, CA",earthquake,2.41,31.61,0.176,11,reviewed,ci,ci
1959-05-31T02:36:12.890Z,33.9816667,-117.2501667,6,2.55,ml,8,131,0.5019,0.37,ci,ci3297073,2016-01-28T18:29:25.850Z,"6km NNW of Moreno Valley, CA",earthquake,1.26,31.61,0.03,3,reviewed,ci,ci
1959-05-31T02:34:24.620Z,33.9215,-117.323,6,2.53,ml,7,173,0.4749,0.48,ci,ci3297072,2016-01-28T18:10:58.380Z,"5km NE of Woodcrest, CA",earthquake,3.32,31.61,0.015,2,reviewed,ci,ci
1959-05-27T18:06:49.130Z,34.0138333,-116.7145,6,3.14,ml,8,172,0.5494,0.38,ci,ci3297070,2016-01-28T18:01:36.960Z,"13km NNE of Cabazon, CA",earthquake,1.6,31.61,0.121,8,reviewed,ci,ci
1959-05-23T11:25:20.880Z,34.0708333,-117.482,4.24,2.27,ml,11,125,0.1174,0.6,ci,ci3297069,2016-01-28T18:29:25.290Z,"4km SW of Fontana, CA",earthquake,1.3,1.42,0.196,4,reviewed,ci,ci
1959-05-23T11:21:16.470Z,34.0021667,-117.537,0.09,3.37,ml,10,135,0.1345,0.44,ci,ci3297065,2016-01-28T18:29:24.760Z,"2km WNW of Mira Loma, CA",earthquake,1.74,2.17,0.173,10,reviewed,ci,ci
1959-05-22T18:33:43.500Z,34.3086667,-117.8516667,0.42,1.99,ml,8,121,0.1424,0.37,ci,ci3297064,2016-01-28T18:20:08.480Z,"19km N of Glendora, CA",earthquake,1.44,3.07,0.015,4,reviewed,ci,ci
1959-05-21T15:50:42.670Z,33.4335,-116.6023333,15.11,3.77,ml,7,115,0.2319,0.44,ci,ci3297063,2016-01-28T18:10:57.860Z,"15km SSE of Anza, CA",earthquake,1.56,2.31,0.071,9,reviewed,ci,ci
1959-05-21T13:26:42.310Z,33.4955,-116.4996667,6.11,2.89,ml,5,128,0.3349,0.46,ci,ci3297062,2016-01-28T18:24:45.870Z,"17km ESE of Anza, CA",earthquake,1.07,2.89,0.164,5,reviewed,ci,ci
1959-05-21T09:12:40.680Z,35.2321667,-118.5426667,6,2.78,ml,6,112,0.4333,0.48,ci,ci3297061,2016-01-28T18:24:45.380Z,"14km NW of Tehachapi, CA",earthquake,1.12,31.61,0.136,10,reviewed,ci,ci
1959-05-21T02:13:56.590Z,35.2318333,-118.5386667,6,3.03,ml,7,96,0.4332,0.43,ci,ci3297060,2016-01-28T18:01:36.540Z,"14km NW of Tehachapi, CA",earthquake,0.95,31.61,0.095,10,reviewed,ci,ci
1959-05-20T07:58:45.660Z,35.2696667,-118.5896667,6,3.48,ml,8,86,0.4719,0.59,ci,ci3297058,2016-01-28T18:01:36.130Z,"20km NW of Tehachapi, CA",earthquake,1.76,31.61,0.124,9,reviewed,ci,ci
1959-05-12T19:54:55.330Z,34.9108333,-117.0011667,6,2.88,ml,6,200,0.9659,0.55,ci,ci3297054,2016-01-28T18:06:19.270Z,"2km NE of Barstow, CA",earthquake,2.75,31.61,0.07,7,reviewed,ci,ci
1959-05-10T15:42:56.270Z,33.019,-117.7378333,6,3.19,ml,9,215,0.8062,0.45,ci,ci3297053,2016-01-28T18:15:38.860Z,"39km WSW of Carlsbad, CA",earthquake,1.56,31.61,0.118,7,reviewed,ci,ci
1959-05-06T23:23:28.210Z,34.115,-117.318,14.35,3.27,ml,9,160,0.1302,0.38,ci,ci3297052,2016-01-28T18:06:18.780Z,"3km SW of San Bernardino, CA",earthquake,1.72,1.03,0.12,11,reviewed,ci,ci
1959-05-01T04:05:29.360Z,35.0593333,-119.006,0.06,2.88,ml,10,147,0.2066,0.69,ci,ci3297051,2016-01-28T17:57:11.020Z,"15km NNW of Grapevine, CA",earthquake,2.02,4.82,0.056,11,reviewed,ci,ci
1959-04-28T05:40:16.600Z,35.2533333,-118.6706667,6,3.09,ml,11,116,0.4249,0.71,ci,ci3297049,2016-01-28T18:10:57.320Z,"15km ENE of Arvin, CA",earthquake,1.47,31.61,0.076,11,reviewed,ci,ci
1959-04-28T05:38:09.590Z,35.2366667,-118.6826667,6,2.87,ml,10,117,0.4057,0.67,ci,ci3297048,2016-01-28T18:01:35.610Z,"14km ENE of Arvin, CA",earthquake,1.73,31.61,0.04,11,reviewed,ci,ci
1959-04-25T23:30:12.500Z,34.9151667,-116.9296667,6,3.02,ml,8,208,0.9905,0.52,ci,ci3297045,2016-01-28T18:24:44.390Z,"9km ENE of Barstow, CA",earthquake,2.13,31.61,0.112,9,reviewed,ci,ci
1959-04-24T07:25:51.300Z,33.8608333,-118.0485,6,2.66,ml,9,114,0.29,0.54,ci,ci3297042,2016-01-28T18:06:18.290Z,"2km E of Cerritos, CA",earthquake,1.07,31.61,0.06,5,reviewed,ci,ci
1959-04-23T06:52:51.930Z,33.8331667,-118.0476667,6,2.66,ml,6,207,0.2816,0.41,ci,ci3297041,2016-01-28T18:20:07.970Z,"2km S of La Palma, CA",earthquake,1.62,31.61,0.123,7,reviewed,ci,ci
1959-04-20T17:19:24.580Z,34.1933333,-117.5408333,3.39,2.55,ml,7,146,,0.38,ci,ci3297040,2016-01-28T18:29:23.720Z,"8km SSW of Lytle Creek, CA",earthquake,0.89,1.14,0.008,4,reviewed,ci,ci
1959-04-20T13:16:14.980Z,34.447,-118.7848333,6,2.38,mh,9,195,0.434,0.55,ci,ci3297039,2016-01-28T18:10:56.820Z,"4km NNE of Piru, CA",earthquake,2.23,31.61,0.077,13,reviewed,ci,ci
